,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average,P-Value
no pcen,0.859158002189787,0.8543380010372676,0.8203359319903737,0.8802038313040756,0.8269505706343522,0.8481972674311713,
pcen,0.9144034751206714,0.901836896539423,0.8999283791459831,0.9018958945609312,0.9030676227090246,0.9042264536152066,
T-Test,,,,,,,0.0010966491906056713
